,TSLA,INTC,AMD,AAPL,MSFT,SPY,GOOG,FB,IBM
2014-08-22,51.356,29.4657264806,4.25,22.9731268424,39.8572368702,176.046694665,582.56,74.57,147.329866822
2014-08-25,52.51,29.356094413,4.18,23.023009273299998,39.874892346100005,176.93934571,580.2,75.02,147.910179831
2014-08-26,52.348,29.3476611771,4.19,22.8754026253,39.7292346698,177.05424138900003,577.86,75.9601,149.32614357399999
2014-08-27,52.65,29.339227941100006,4.16,23.1567848836,39.6100602074,176.98353635599997,571.0,74.63,148.75356807100002
2014-08-28,52.772,29.2211626375,4.14,23.1839934823,39.6188879454,176.886316935,569.2,73.855,148.560130402
2014-08-29,53.94,29.4488600087,4.17,23.240678063,40.104413533,177.390090297,571.6,74.82,148.792255605
2014-09-02,56.824,29.153696749699996,4.16,23.422068721,39.8042704425,177.301709005,577.33,76.68,148.219680103
2014-09-03,56.238,29.153696749699996,4.19,22.4334896347,39.689509849000004,177.204489585,577.94,75.83,148.52144286799998
2014-09-04,57.208,29.4362101548,4.15,22.247564210100002,39.9543419877,176.94818383900002,581.98,75.95,147.538779505
2014-09-05,55.478,29.5163258965,4.15,22.440291784299998,40.5281449548,177.743615463,586.08,77.26,147.94112985799998
2014-09-08,56.422,29.7946226835,4.13,22.301981407600003,41.0224982804,177.284032747,589.72,77.89,147.120954138
2014-09-09,55.69600000000001,29.4404267727,4.08,22.218088228200003,41.2785026811,176.16159034400002,581.01,76.67,147.00489153700002
2014-09-10,56.22,29.5331923684,4.08,22.9005705791,41.3491245847,176.824450031,583.1,77.43,148.204205089
2014-09-11,56.062,29.5331923684,4.08,22.9980680578,41.490368392,177.027727001,581.35,77.92,148.343480211
2014-09-12,55.84,29.1958629296,3.96,23.050217871999997,41.2211223844,175.99366589,575.62,77.48,148.003029913
2014-09-15,50.772,29.1283970418,3.91,23.0434157224,40.8194603074,175.861093953,573.1,74.58,148.41311777299998
2014-09-16,52.148,29.457293244699997,3.81,22.868827214,41.2785026811,177.186813326,579.95,76.08,149.302931054
2014-09-17,52.276,29.4994594245,3.82,23.032078806199998,41.0666369701,177.425442813,584.77,76.43,149.179130945
2014-09-18,52.764,29.659690908,3.88,23.079693854000002,41.2078807774,178.371122633,589.27,77.0,149.91419409
2014-09-19,51.864,29.364527649,3.81,22.8915010462,41.9494107657,178.21132042,596.08,77.91,150.10763176
2014-09-22,50.006,29.271762053299998,3.76,22.9141748785,41.5433348197,176.834999809,587.37,76.8,149.418993656
2014-09-23,50.082,29.027198210199998,3.69,23.2724214281,41.101947922,175.822738198,581.13,78.29,148.266105144
